# ailc-osv-snapshot	generated_at=2026-08-03	count=59902
# поля: id	ecosystem	package	introduced	fixed	severity	summary
# источник: официальные выгрузки OSV.dev, сборка tools/update-osv.py, записи о вредоносных пакетах (MAL-*) исключены
CVE-2026-24791	Go	code.gitea.io/gitea	1.22.3	1.26.2	HIGH	Gitea: Public-only tokens bypass private-resource restrictions on `/api/v1/user` self routes
CVE-2026-25038	Go	code.gitea.io/gitea	0	1.26.3	HIGH	Gitea: Unauthorized Access to Labels of Private Organizations
CVE-2026-25714	Go	code.gitea.io/gitea	0	1.26.2	MEDIUM	Gitea: Incomplete CVE-2025-68941 fix: /user/orgs missing checkTokenPublicOnly + switch-case logic flaw
CVE-2026-25779	Go	code.gitea.io/gitea	0	1.26.0	MEDIUM	Gitea: Open Redirect via redirect_to in code.gitea.io/gitea
CVE-2026-26231	Go	code.gitea.io/gitea	0	1.26.2	HIGH	Gitea: Authorization Bypass via "Allow edits from maintainers" allows unauthorized commits to any readable repo
CVE-2026-27761	Go	code.gitea.io/gitea	0	1.26.3	MEDIUM	Gitea: API access token scope enforcement bypass on repository RSS/Atom feed endpoints leaks private repository commit…
CVE-2026-27771	Go	code.gitea.io/gitea	0	1.26.2	HIGH	Gitea has insufficient permission checks for Composer package source links
CVE-2026-27775	Go	code.gitea.io/gitea	0	1.26.3	HIGH	Gitea: Cached Per-Branch Permission Check in Pre-Receive Hook Allows Full Repository Write
CVE-2026-27783	Go	code.gitea.io/gitea	0	1.26.2	MEDIUM	Gitea: Missing repository-unit authorization on issue-template API endpoints
CVE-2026-28699	Go	code.gitea.io/gitea	0	1.26.2	HIGH	Gitea: OAuth2 access token scope enforcement bypass via HTTP Basic authentication
CVE-2026-28737	Go	code.gitea.io/gitea	1.25.0	1.26.0	HIGH	Gitea: Stored XSS via glTF `extensionsRequired` in Gitea 3D File Viewer
CVE-2026-28740	Go	code.gitea.io/gitea	0	1.26.3	MEDIUM	Gitea: Git LFS object reuse allows non-Code access to authorize private source objects in code.gitea.io/gitea
CVE-2026-28744	Go	code.gitea.io/gitea	0	1.26.2	HIGH	Gitea: Git Smart HTTP Skips Repository Token Scopes for Bearer Tokens
CVE-2026-42931	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Denial of Service via Unbounded io.ReadAll in NPM Package Tag Endpoint
CVE-2026-50105	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: RSS/Atom feed handlers bypass API-token scope & public-only confinement (incomplete fix of #37698)
CVE-2026-54481	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Internal API HTTP client hardcodes InsecureSkipVerify:true with no config override
CVE-2026-55982	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: OIDC userinfo Endpoint Returns Identity Claims Without Enforcing API Token Scopes
CVE-2026-55984	Go	code.gitea.io/gitea	0	1.27.0	LOW	Gitea: Null Pointer Dereference in AddTime API Causes Authenticated Denial of Service
CVE-2026-55987	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: OAuth2 sign-in reactivates an administrator-deactivated account on auth sources without refresh tokens (incomple…
CVE-2026-56443	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Token public-only scope bypassed on Limited-visibility owners (Repository + Package categories) — residual after…
CVE-2026-56654	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Privilege Escalation via Access Token Scope Escalation in API
CVE-2026-56657	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea SSH Key Parser Denial of Service
CVE-2026-56750	Go	code.gitea.io/gitea	0	1.27.0	CRITICAL	Gitea Remember-Me Token Theft Not Invalidating Attacker Session
CVE-2026-56755	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Denial of Service (CPU & Memory Exhaustion) via O(N^2) String Concatenation in Debian Package Upload
CVE-2026-57886	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Cross-repository issue/comment attachment re-linking can expose private attachment content
CVE-2026-57894	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Repository Migration Follows Git HTTP Redirects After URL Allow/Block Validation, Enabling Internal Git Reposito…
CVE-2026-57897	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Cross-Repo Information Disclosure via Org-Level Actions Run/Job APIs
CVE-2026-58314	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Two SSRF findings
CVE-2026-58418	Go	code.gitea.io/gitea	0	1.26.4	MEDIUM	Gitea: SSRF via HTTP Redirect in Repository Migration
CVE-2026-58419	Go	code.gitea.io/gitea	0	1.26.4	HIGH	Gitea: Notification API leaks private issue metadata after access revocation
CVE-2026-58421	Go	code.gitea.io/gitea	0	1.26.4	HIGH	Gitea: Unauthenticated ReDoS via CODEOWNERS pattern matching allows denial of service
CVE-2026-58422	Go	code.gitea.io/gitea	0	1.26.4	HIGH	Gitea: Improper authorization on OAuth sign-in callback silently re-enables administrator-disabled accounts
CVE-2026-58423	Go	code.gitea.io/gitea	1.23.0	1.26.3	HIGH	Gitea: LFS authentication bypass via malformed SSH sub-verb allows unauthorized read access to private repositories
CVE-2026-58424	Go	code.gitea.io/gitea	0	1.26.3	HIGH	Gitea: Permanent Fork PR Workflow Approval Gate Bypass
CVE-2026-58425	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: OAuth token introspection returns metadata of tokens issued to other clients (RFC 7662 section 4 violation)
CVE-2026-58426	Go	code.gitea.io/gitea	1.22.0	1.26.2	CRITICAL	Gitea Actions Artifacts V4 signed URL HMAC ambiguity allows cross-repository artifact read and cross-task upload-state…
CVE-2026-58428	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Release attachment extension allowlist bypass via web release edit form (variant of CVE-2025-68939)
CVE-2026-58429	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Public-Only Personal access tokens scope bypass in Organization and Permission Endpoints
CVE-2026-58432	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: draft release attachment disclosure via missing web authorization
CVE-2026-58434	Go	code.gitea.io/gitea	0	1.27.0	LOW	Gitea: Private Repository Metadata Remains Accessible After Access Revocation
CVE-2026-58435	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea LFS Deploy-Key Privilege Escalation
CVE-2026-58436	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: ParseAcceptLanguage quadratic-time DoS via Locale middleware on unauthenticated requests
CVE-2026-58437	Go	code.gitea.io/gitea	0	1.27.0	HIGH	Gitea: Repository Visibility Manipulation via Git Push Options
CVE-2026-58441	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: SSRF in restore-repo via unsanitized pull_request.yml Head.CloneURL
CVE-2026-58442	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Repository migration SSRF via multi-answer DNS allow-list bypass
CVE-2026-58443	Go	code.gitea.io/gitea	0	1.27.0	CRITICAL	Gitea: Public-only repository tokens can update private PR head branches
CVE-2026-58444	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Personal access token scope enforcement bypass on the repository home page (`GET /{owner}/{repo}`) discloses pri…
CVE-2026-58445	Go	code.gitea.io/gitea	0	1.27.0	LOW	Gitea: Cross-repository label-ID enumeration oracle via unscoped DeleteIssueLabel API
CVE-2026-58507	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Private Repository Existence Disclosure via go-get Meta Endpoint
CVE-2026-58510	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: GHSA-8fwc-qjw5-rvgp ClearRepoWatches fix not applied to API EditRepo path — sister code path retains stale watch…
CVE-2026-58511	Go	code.gitea.io/gitea	0	1.27.0	LOW	Gitea: Webhook Authorization Header Returned in Plaintext via API
CVE-2026-59763	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: Unbounded Arch package file metadata can cause resource amplification in Gitea package uploads
CVE-2026-59765	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea: SSRF via Migration Asset Downloads Bypasses hostmatcher — Reads Internal Files and Cloud Metadata
CVE-2026-59766	Go	code.gitea.io/gitea	0	1.27.0	MEDIUM	Gitea CVE-2026-20800 sibling endpoints not covered: revoked user still reads private repo objects via `/api/v1/user/sta…
GHSA-3m6q-h5gj-7mrw	Go	code.gitea.io/gitea	0	1.25.0	MEDIUM	Gitea has insecure default SSH settings
GHSA-rjvx-x5h2-6px5	Go	code.gitea.io/gitea	0	1.26.0	MEDIUM	Gitea: API Fork Endpoint Authorization Bypass Allows Organization Members to Bypass Repository Creation Restrictions
GO-2026-5091	Go	code.gitea.io/gitea	0	1.25.0	MEDIUM	Gitea has insecure default SSH settings in code.gitea.io/gitea
GO-2026-6074	Go	code.gitea.io/gitea	0	1.26.0	MEDIUM	Gitea: API Fork Endpoint Authorization Bypass Allows Organization Members to Bypass Repository Creation Restrictions in…
CVE-2022-4643	Go	code.sajari.com/docconv	1.1.0	1.3.5	CRITICAL	docconv OS Command Injection vulnerability
CVE-2022-4741	Go	code.sajari.com/docconv	0	1.2.1	MEDIUM	docconv vulnerable to Memory Allocation with Excessive Size Value
CVE-2023-35163	Go	code.vegaprotocol.io/vega	0	0.71.6	MEDIUM	Vega's validators able to submit duplicate transactions
CVE-2026-29794	Go	code.vikunja.io/api	0.8	2.2.0	MEDIUM	Vikunja has a Rate-Limit Bypass for Unauthenticated Users via Spoofed Headers
CVE-2026-33312	Go	code.vikunja.io/api	0.20.2	2.2.0	MEDIUM	Vikunja read-only users can delete project background images via broken object-level authorization
CVE-2026-33474	Go	code.vikunja.io/api	1.0.0-rc0	2.2.0	MEDIUM	Vikunja Affected by DoS via Image Preview Generation
CVE-2026-33668	Go	code.vikunja.io/api	0.18.0	2.2.1	HIGH	Vikunja Allows Disabled/Locked User Accounts to Authenticate via API Tokens, CalDAV, and OpenID Connect
CVE-2026-33675	Go	code.vikunja.io/api	0	2.2.1	MEDIUM	Vikunja has SSRF via Todoist/Trello Migration File Attachment URLs that Allows Reading Internal Network Resources
CVE-2026-33676	Go	code.vikunja.io/api	0	2.2.1	MEDIUM	Vikunja has Cross-Project Information Disclosure via Task Relations — Missing Authorization Check on Related Task Read
CVE-2026-33677	Go	code.vikunja.io/api	0	2.2.1	MEDIUM	Vikjuna: Webhook BasicAuth Credentials Exposed to Read-Only Project Collaborators via API
CVE-2026-33678	Go	code.vikunja.io/api	0	2.2.1	HIGH	Vikjuna: IDOR in Task Attachment ReadOne Allows Cross-Project File Access and Deletion
CVE-2026-33679	Go	code.vikunja.io/api	0	2.2.1	MEDIUM	Vikjuna Bypasses Webhook SSRF Protections During OpenID Connect Avatar Download
CVE-2026-33680	Go	code.vikunja.io/api	0	2.2.2	HIGH	Vikjuna: Link Share Hash Disclosure via ReadAll Endpoint Enables Permission Escalation
CVE-2026-33700	Go	code.vikunja.io/api	0	2.2.1	MEDIUM	Vikunja has a Link Share Delete IDOR — Missing Project Ownership Check Allows Cross-Project Link Share Deletion
CVE-2026-34727	Go	code.vikunja.io/api	0	2.3.0	HIGH	Vikunja has TOTP Two-Factor Authentication Bypass via OIDC Login Path
CVE-2026-35594	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja: Link Share JWT tokens remain valid for 72 hours after share deletion or permission downgrade
CVE-2026-35595	Go	code.vikunja.io/api	0	2.3.0	HIGH	Vikunja vulnerable to Privilege Escalation via Project Reparenting
CVE-2026-35596	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja has Broken Access Control on Label Read via SQL Operator Precedence Bug
CVE-2026-35597	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja Vulnerable to TOTP Brute-Force Due to Non-Functional Account Lockout
CVE-2026-35598	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja Missing Authorization on CalDAV Task Read
CVE-2026-35599	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja has Algorithmic Complexity DoS in Repeating Task Handler
CVE-2026-35600	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja has HTML Injection via Task Titles in Overdue Email Notifications
CVE-2026-35601	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja has iCalendar Property Injection via CRLF in CalDAV Task Output
CVE-2026-35602	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja has File Size Limit Bypass via Vikunja Import
CVE-2026-40103	Go	code.vikunja.io/api	0	2.3.0	MEDIUM	Vikunja: Scoped API tokens with projects.background permission can delete project backgrounds
CVE-2026-56765	Go	code.vikunja.io/api	0	2.2.1	CRITICAL	Vikunja: Unauthenticated Instance-Wide Data Breach via Link Share Hash Disclosure Chained with Cross-Project Attachment…
GHSA-7225-m954-23v7	Go	cosmossdk.io/math	0	1.4.0	HIGH	ASA-2024-010: cosmossdk.io/math: Mismatched bit-length validation in sdk.Int and sdk.Dec can lead to panic
GO-2024-3279	Go	cosmossdk.io/math	0	1.4.0	MEDIUM	Mismatched bit-length validation in can lead to panic in cosmossdk.io/math
GHSA-8wcc-m6j2-qxvm	Go	cosmossdk.io/x/tx	0	0.13.7	HIGH	ASA-2024-0012, ASA-2024-0013: CosmosSDK: Transaction decoding may result in a stack overflow or resource exhaustion
GO-2024-3339	Go	cosmossdk.io/x/tx	0	0.13.7	MEDIUM	Transaction decoding may result in a stack overflow or resource exhaustion in github.com/cosmos/cosmos-sdk
CVE-2023-27584	Go	d7y.io/dragonfly/v2	0	2.0.9-rc.2	CRITICAL	Dragonfly2 has hard coded cyptographic key
CVE-2023-27584	Go	d7y.io/dragonfly/v2	0	2.1.0-beta.1	MEDIUM	Dragonfly2 has hard coded cyptographic key in d7y.io/dragonfly
CVE-2023-27584	Go	d7y.io/dragonfly/v2	2.1.0-alpha.0	2.1.0-beta.1	CRITICAL	Dragonfly2 has hard coded cyptographic key
CVE-2025-59345	Go	d7y.io/dragonfly/v2	0	2.1.0	HIGH	Dragonfly doesn't have authentication enabled for some Manager’s endpoints
CVE-2025-59346	Go	d7y.io/dragonfly/v2	0	2.1.0	HIGH	Dragonfly vulnerable to server-side request forgery
CVE-2025-59347	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	Dragonfly's manager makes requests to external endpoints with disabled TLS authentication
CVE-2025-59348	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	Dragonfly incorrectly handles a task structure’s usedTrac field
CVE-2025-59349	Go	d7y.io/dragonfly/v2	0	2.1.0	LOW	Dragonfly's directories created via os.MkdirAll are not checked for permissions
CVE-2025-59350	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	Dragonfly vulnerable to timing attacks against Proxy’s basic authentication
CVE-2025-59351	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	DragonFly vulnerable to panics due to nil pointer dereference when using variables created alongside an error
CVE-2025-59352	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	DragonFly vulnerable to arbitrary file read and write on a peer machine
CVE-2025-59353	Go	d7y.io/dragonfly/v2	0	2.1.0	HIGH	DragonFly's manager generates mTLS certificates for arbitrary IP addresses
CVE-2025-59354	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	DragonFly has weak integrity checks for downloaded files
CVE-2025-59410	Go	d7y.io/dragonfly/v2	0	2.1.0	MEDIUM	DragonFly's tiny file download uses hard coded HTTP protocol
CVE-2026-24124	Go	d7y.io/dragonfly/v2	0	2.4.1	HIGH	Dragonfly Manager Job API Unauthenticated Access
CVE-2026-49254	Go	d7y.io/dragonfly/v2	0	2.4.4	LOW	Dragonfly Manager OAuth provider client_secret disclosure via unauthenticated GET /api/v1/oauth
CVE-2026-54637	Go	d7y.io/dragonfly/v2	0	2.4.4-rc.3	MEDIUM	Dragonfly scheduler v1 and v2 gRPC unauthenticated SSRF via attacker-controlled PeerHost in DownloadTinyFile
CVE-2019-15119	Go	ehang.io/nps	0	0.23.2	MEDIUM	cnlh nps vulnerable to file overwrite by local user
GHSA-32gq-x56h-299c	Go	filippo.io/age	0	1.2.1	MEDIUM	age vulnerable to malicious plugin names, recipients, or identities causing arbitrary binary execution
GO-2024-3344	Go	filippo.io/age	0	1.2.1	MEDIUM	Malicious plugin names, recipients, or identities causing arbitrary binary execution in filippo.io/age
CVE-2026-26958	Go	filippo.io/edwards25519	0	1.1.1	LOW	filippo.io/edwards25519 MultiScalarMult produces invalid results or undefined behavior if receiver is not the identity
CVE-2023-24533	Go	filippo.io/nistec	0	0.0.2	HIGH	nistec has Incorrect Calculation in Multiplication of unreduced P-256 scalars
GHSA-x477-fq37-q5wr	Go	fortio.org/proxy	1.5.0	1.6.1	MEDIUM	Initial debug-host handler implementation could leak information and facilitate denial of service
